Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),C.P.,Población,Provincia,Zona,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
Banc de Cultures,Banco del tiempo lingüístico y cultural,Otros,Banco de tiempo - Municipal,"Centre Flassaders   C/ Ferreria, 10",4ª planta,07002,Palma de Mallorca,Illes Balears,,39.5707789,2.6546575,971228756,,,bancdecultures@palma.es,,,,2014,,"El Banc de Cultures (Banco del Tiempo lingüístico y cultural) es un proyecto que surge a iniciativa del Área de Educación, Familia, Mayores e Immigración del Ayuntamiento de Palma. Pretende ser un espacio de convivencia entre personas de orígenes culturales diversos y de intercambio de conversación en catalán, castellano y otros idiomas y donde se podrán adquirir y compartir conocimientos de alrededor del mundo.",,,,,,,,,,,2015-02-19 14:57:53
Banc de Temps Civis Canyelles,,Asociación,Banco de tiempo - Comunitario,Av. Daltmar 15,casa,08811,Canyelles- El Garraf,Barcelona,Municipi de Canyelles,41.2861949,1.7196685,609 134 184  (Roser),605 678 628 (Carmen),no en tenim,associaciocivis@gmail.com,,https://www.facebook.com/civis.associacio,http://bancdetempsdecanyelles.blogspot.com.es/,2013,,"CIVIS-Canyelles és una entitat sense ànim de lucre adscrita al registre d'entitats de la Generalitat de Catalunya que vol promoure accions en ciutadania activa. La nostra primera actuació és el desenvolupament del BdT del nostre municipi: Canyelles- El Garraf-
Tenim una boseta,encara petita, de sòcis del BdT però de mica en mica es va sentit la nostra veu i la filosofia comunitària i solidària en el territori del nostre poble.
Ens agradaria  associar-nos ,estar informades/formades i col.laborar amb la vostra proposta",,,,,,,,,,,2014-04-08 09:01:04
Banc de Temps de Dosrius,,Asociación,Banco de tiempo - Comunitario,C / Sant Antoni 9,Rectoria Vella,08319,Dosrius,Barcelona,,41.5946836,2.4060321,639349603, 645930581,,,,http://bancdeltempsdosrius.blogspot.com.es/,http://www.bancdeltempsdosrius.org/,None,,"Este es un proyecto auspiciado por el Ateneu Cultural y Social-Espacio Solidario 2 Rius, que tiene como objetivo el desarrollar toda una serie de colaboración, participación, cohesión y relaciónes de confinaza entre los usuarios y ciudadanos que creen en su filosofia, acepten su ideario y cumplan con la base fundamental, promover la reciprocidad como forma de intercambio ciudadano.",,,,,,,,,,,2013-06-12 23:52:57
Banc de Temps de Lleida,Intercambio de actividades,Asociación,Banco de tiempo - Comunitario,"Carrer Pau Claris, 10 ",,25008,Lleida,Lleida,,41.6221819,0.6219152,744408679,,,secretaria@bancdetemps.org,,http://www.bancdetemps.org/,,2013,,,,,,,,,,,,,2014-07-22 21:00:35
Banc de Temps de Sant Celoni,,Asamblea,Banco de tiempo - Comunitario,"Alguersuari, 16",La Clau,08470,Sant Celoni,Barcelona,,41.6863404,2.4899321,,,,bdtstceloni@gmail.com,,http://bdtstceloni.blogspot.com/,https://www.facebook.com/bdtstceloni,2013,,"Banc de Temps de Sant Celoni: Intercanvi de serveis amb la moneda temps. 

Acull el projecte ""La clau"": una associació cultural sense ànim de lucre que vol esdevenir un espai d'unió d'entitats i de ciutadans i ciutadanes del Baix Montseny amb una voluntat clara de promoure l'organització, la cultura popular, l'oci alternatiu, la reflexió crítica i l'acció dels ciutadans, per a la transformació social i nacional de les nostres viles.",,,,,,,,,,,2013-10-23 11:19:07
Banc de Temps de Sant Sadurní d'Anoia,Inscripción en el mapa de bancos de tiempo,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Marc Mir, 15",,08770,Sant Sadurní d'Anoia,Barcelona,,41.4242091,1.7892129,606953713,,-,bdtsantsa@gmail.com,,,,2014,,Intercanvio de servicios entre asociados.,,,,,,,,,,,2014-09-04 11:02:04
Banc de Temps de Tàrrega,,Asociación,Banco de tiempo - Municipal,"C/Segle XX, 2",3er pis. Centre d'Entitats,25300,Tàrrega,Lleida,Comarca de l'Urgell,41.6496245,1.1375079,973314151,,,bancdetempsdetarrega@gmail.com,,http://www.bancdetempsdetarrega.blogspot.com/,,2014,,,,,,,,,,,,,2014-05-20 21:45:48
Banc de Temps de Vilafranca del Penedès,,Otros,Banco de tiempo - Comunitario,,,,Vilafranca del Penedès,,,41.3461265,1.6979398,938 171 995,,,rgarcia@vilafranca.org,,https://bdtvilafranca.wordpress.com/,,2015,,"Es tracta d’un sistema gratuït d’intercanvi de serveis, tasques puntuals, habilitats, coneixements i relacions entre persones, que pren el temps com a unitat de valor i de canvi. 
La mesura dels intercanvis és l’hora, amb independència del tipus de serveis que s’intercanviïn.",,,,,,,,,,,2015-05-27 12:27:08
Banc de Temps del Prat de Llobregat,,Asociación,Banco de tiempo - Comunitario,"Plaça de l'Agricultura, 4",,08820,El Prat de Llobregat,Barcelona,Baix Llobregat,41.3247670713,2.09309716295,,,,bdtelprat@gmail.com,,http://www.bdtelprat.cat/,,2014,,,,,,,,,,,,,2014-10-28 13:17:47
BANC DEL TEMPS  DE PLATJA D´ARO,,Centro social,Banco de tiempo - Municipal,Carrer Escoles nº  2,,17250,PLATJA D´ARO,GIRONA,BAIX EMPORDA,41.8179345,3.0640574,972818341,678797466,,ccivic@platjadaro.com,,,,2014,,"Banc del Temps municipal.
Que trata de cohesionar las personas que vivien en el municipio, que por su caracteristica estacional necesita de acciones que pongan en contacto a las personas.",,,,,,,,,,,2014-07-24 08:12:33
Banc del Temps Barceloneta,Incluir el Banc del Temps Barceloneta,Grupo/colectivo,Banco de tiempo - Municipal,C/ Conreria 1-9,Centre Cívic Municipal,08003,Barcelona,Barcelona,Ciutat Vella,41.3802854,2.1923587,932563312,,,bdt_barceloneta@hotmail.com,,http://www.facebook.com/bdtbarceloneta,,2007,,,,,,,,,,,,,2013-11-12 12:23:01
Banc del Temps Club Maginet,Nuestro lema es PEDIR SIN MOLESTAR PARA DAR SIN OFENDER,Asociación,Banco de tiempo - Comunitario,Ramon y Cajal 39 7 2,,43001,TARRAGONA,IDEM,Toda  la ciudad,41.1161514,1.2447928,687424975,977243925,,clubmaginet.bancdeltemps@gmail.com,,,,2014,,COLGAMOS LA INFORMACION EN UNA PÀGINA DE FACEBOOK QUE SE LLAMA: BANC DEL TEMPS DEL CLUB MAGINET,,,,,,,,,,,2014-07-08 13:09:45
BANC DEL TEMPS D´ARENYS,,Asociación,Banco de tiempo - Municipal,,,08350,ARENYS DE MAR,BARCELONA,,41.5797073,2.5508683,,,,bancdeltempsdarenys@gmail.com,,,,None,,,,,,,,,,,,,2015-02-19 15:00:26
Banc del Temps de Cabrera de Mar,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Pare Jaume Català, 30-36, local 4 ",,08349,Cabrera de Mar,Barcelona,,41.527928,2.393603,93 750 62 88,667 183 136,,,bancdeltemps@cabrerademar.cat,http://bancdeltempscabrerademar.blogspot.com.es/,https://www.facebook.com/bancdeltempscabrerademar,None,,"Som un grup de persones vinculades a Cabrera de Mar que volem compartir el nostre temps amb altra gent. Mitjançant els intercanvis coneixem gent, resolem petits problemes de la vida quotidiana i fem activitats socials.",,,,,,,,,,,2015-04-07 08:07:39
BANC DEL TEMPS DE CARDEDEU,,Asociación,Banco de tiempo - Comunitario,,,08440,CARDEDEU,BARCELONA,VALLÈS ORIENTAL,41.63857,2.357459,666780303,,,bancdeltempsdecardedeu@gmail.com,,http://bancdeltempsdecardedeu.blogspot.com.es/,http://aprencardedeu.blogspot.com.es/,2005,,"El Banco del tiempo de Cardedeu somos una entidad sin ánimo de lucro, creada en 2005, que tenemos como finalidad promover el intercambio de conocimientos, habilidades y servicios entre las personas para fomentar la comunidad, colaborar, ayudarnos, conversar, compartir momentos de ocio, aficiones, favorecer la reutilización y ahorrar. Actualmente la gestión de los intercambios se hace on line a través de los formularios de nuestro blog.
También impulsamos, desde octubre de 2010, los talleres de intercambio lingüístico ""Aprenem Cardedeu"": aprendemos la lengua que queremos y enseñamos la que sabemos leyendo y hablando. Cada miércoles por la tarde nos encontramos en la biblioteca del pueblo y aprovechamos este encuentro semanal también como un espacio presencial para informar a personas interesadas o facilitar el contacto para los intercambios.",,,,,,,,,,,2013-06-17 09:30:13
Banc del Temps de Gavà (BATEGA),,Grupo/colectivo,Banco de tiempo - Municipal,"Rambla de Joaquim Vayreda, 3",Casal Municipal d'Entitats Sant Jordi,08050,Gavà,Barcelona,Baix Llobregat,41.3049666,2.0080843,Telèfon 93 6333629 Horari: dimarts i dijous de 18 a 20 h.,"Telèfon 93 2639100, extensió 9222 Horari: divendres de 10 a 12 h.",,vobatega@gmail.com,,http://www.bancdeltempsgava.cat/,,None,,"El Banc del Temps de Gavà és un projecte de millora de la convivència entre les persones a través de l'intercanvi del seu temps.

Aquest sistema d’intercanvi té per objectiu establir una xarxa d'ajuda mútua i reforçar els llaços comunitaris de Gavà i altres municipis.

És una iniciativa comunitària d'intercanvi, té simbòlicament el funcionament d'un banc, però en el qual allò que es ""presta"" i es ""rep"" és temps dedicat a serveis a les persones.

El Banc del Temps de Gavà (BATEGA) es va crear el 2008 i actualment està format per uns cent trenta-tres usuaris i usuàries que intercanvien el seu temps, habilitats i coneixements. ",,,,,,,,,,,2014-02-05 09:15:22
Banc del Temps de Gràcia,,Grupo/colectivo,Banco de tiempo - Comunitario,"Plaça Del Nord, 7-10 - Llüisos de Gràcia",,08024,Barcelona,Barcelona,,41.4072589,2.1555639,932 183 372 Ext.6,,,bancdeltempsgracia@lluisosdegracia.cat,,http://gracia.bdtonline.org/,,2004,,,,,,,,,,,,,2013-06-22 16:06:03
Banc del Temps de La Noguera,,Asociación,Banco de tiempo - Comunitario,"Sant Lluis, 2-ppal. 2ª",,25600,BALAGUER,LLEIDA,,41.7932526,0.8096489,973450451,,973443615,bdtlanoguera@gmail.com,,http://www.bdtlanoguera.org/,,2011,,,,,,,,,,,,,2013-11-18 10:31:59
Banc del Temps de Maçanet de la Selva,,Otros,Banco de tiempo - Municipal,Avinguda Catalunya 13,Edifici de Can Falló,17412,Maçanet de la Selva,Girona,La Selva,41.77829,2.73085,972165651,681265644,,clopez@massanetdelaselva.cat,,http://www.massanetdelaselva.cat/,,2015,,,,,,,,,,,,,2015-02-12 10:29:43
Banc del Temps de Menorca-Alaior,Banc del Temps Menorca (secretaria d'Alaior),Grupo/colectivo,Banco de tiempo - Comunitario,"C/ des Forn, 9",07730,Seman,Alaior,Illes Balears,,39.933711,4.1403514,,,,bancdeltempsmenorca@gmail.com,,http://www.bancdeltempsmenorca.wordpress.com/,,None,,,,,,,,,,,,,2013-06-17 12:24:54
Banc del Temps de Montmeló,Volem aparèixer al mapa interactiu de Bancs del Temps,Asociación,Banco de tiempo - Municipal,C/ Folch i Torras s/n,"Centre cultural La Torreta, Casal d'entitats",08160,Montmeló,Barcelona,Montmeló i Montornès del Vallès,41.5492171,2.2497083,935212582,,,bancdeltemps.montmelo@gmail.com,,http://montmelobancdeltemps.blogspot.com.es/,,2012,,"Com a Banc del temps ens proposem recuperar el concepte de veïns, de poble, enfortir les relacions entre els veïns del poble, que ens coneguem millor.
A part d'intercanvi de serveis, també organitzem activitats en grups (tallers de sabó ecològic per la roba, per les mans, de cant i veu, dieta mediterrània, etc).
També organitzem 2 ó 3 cops l'any una trobada entre socis per conèixer-nos millor, on cadascú porta una mica de menjar i beure.
En quan al Telf de contacte i l'horari d'atenció al públic, estem els dimecres de 17-19h ",,,,,,,,,,,2014-03-31 09:35:12
Banc del temps de Santa Cristina d'Aro,,Otros,Banco de tiempo - Municipal,"Passatge Pompeu Fabra, 2",Santa Cristina d'Aro,17246,Santa Cristina d'Aro,Girona,Comarca Baix Empordà,41.8137777,2.9972986,972837391,,,igualtat@santacristina.net,,http://www.santacristina.net/ca/banc_del_temps.html,,2012,,,,,,,,,,,,,2013-12-02 10:00:12
BANC DEL TEMPS DE VILANOVA I LA GELTRÚ,,Otros,Banco de tiempo - Municipal,Plaça dels Alumnes Obrers s/n,Centre Cívic de la Geltrú,08800,Vilanova i la Geltrú,Barcelona,,41.2151504,1.727446,Ajuntament de Vilanova 938140000 (ext 2047) ,Centre Cívic de la Geltrú (93 814 7406),,nucliantic@vilanova.cat,sruiz@vilanova.cat,,,None,,"Horari d'atenció al públic al Centre Cívic de la Geltrú:

Divendres de 18h a 20h (de novembre a març) i de 17 a 19h d'abril a octubre (agost tancat) ",,,,,,,,,,,2013-11-18 10:41:06
Banc del Temps del Berguedà,,Grupo/colectivo,Banco de tiempo - Comunitario,"C/ del Roser, 35",Baixos,08600,Berga,Barcelona,Berguedà,42.1012595,1.8439221,620000064,,,berguedabdt@gmail.com,,http://bancdeltempsbergueda.wordpress.com/,,None,,,,,,,,,,,,,2014-01-07 09:26:43
Banc del Temps del Moianès,,Asamblea,Banco de tiempo - Comunitario,"Centre Cívic Can Carner. C/ de les Joies, 11.",,08180,Moià,Barcelona,Comarca del Moianès,41.8122247,2.0976547,627 499 452,648 807 902,,BdTmoianes@inventati.org,,https://bancdeltempsdelmoianes.wordpress.com/,,2014,,Banc del Temps independent que agrupa diversos pobles del Moianès.,,,,,,,,,,,2015-06-24 10:15:30
Banc del Temps del Solsonès,,Otros,Banco de tiempo - Comunitario,"C/ Dominics, 12",Palau Llobera,25280,Solsona,Lleida,Catalunya Central,41.9953022,1.5192354,973482003,,973482514,,,http://www.bancdeltempsdelsolsones.wordpress.com/,,2012,,,,,,,,,,,,,2015-02-10 11:58:14
Banc del Temps El Masnou,,Asociación,Banco de tiempo - Municipal,"C/ Segarra, 12",Espai Cívic Els Vienesos,08320,El Masnou,Barcelona,,41.5059585,2.2781865,935 571 880,,,bdtelmasnou@gmail.com,,,,2012,,,,,,,,,,,,,2013-11-28 09:35:23
BANC DEL TEMPS GORNAL-L'HOSPITALET,,Grupo/colectivo,Banco de tiempo - Comunitario,"calle Joncs, 12",local,08902,l'hospitalet de llobregat,barcelona,,41.3579037,2.1185028,934036705,934036935,,banctempsgornal@gmail.com,yriera@l-h.cat,https://www.facebook.com/BancdeltempselGornal,,2015,,"El Gornal es un barrio de la ciudad de L'Hospitalet de Llobregat. El proyecto nace en él y tiene dimensión de Ciudad. La Secretaria està formada por 7 miembros, vecinos y vecinas que gestionan con ilusión esta reciente iniciativa.",,,,,,,,,,,2015-07-28 09:32:59
BANC DEL TEMPS LA CANONJA,,Centro social,Banco de tiempo - Municipal,Plaça Catalunya s/n ,Centre Civic La Canonja,43110,La Canonja,Tarragona,Tarragonés (comarca),41.1232347,1.1789095,977 540 510,,,bancdeltemps@lacanonja.cat,,,,2014,,Banc del temps amb el suport de la regidoria d'Acció Social de l'Ayuntament de La Canonja (TARRAGONA),,,,,,,,,,,2014-07-08 13:11:50
Banc del Temps La Sagrera,,Grupo/colectivo,Banco de tiempo - Comunitario,"Hondures, 28 - 30",Nau Ivanow,08027,Barcelona,Barcelona,,41.4199544,2.1899933,,,,bdt.lasagrera@gmail.com,,http://lasagrera.bdtonline.org/,,2012,,,,,,,,,,,,,2013-06-09 23:38:36
Banc del Temps Pineda de Mar,,Asociación,Banco de tiempo - Comunitario,C/ Ignasi Iglesias 32,,08397,Pineda de Mar,Barcelona,Maresme,41.6229683,2.6894033,660074447,,,bancdeltempspinedademar@gmail.com,,,,2011,,,,,,,,,,,,,2013-09-30 09:36:46
Banc del Temps Trinitat Vella,Incorporar el Banc del Temps de Trinitat Vella en Barcelona,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Foradada, 36-38",,08033,Barcelona,Barcelona,Trinitat Vella (Districte Sant Andreu),41.4516211,2.1911907,933457016,,,bancdeltempstrinitatvella@gmail.com,,http://trinitatvella.bdtonline.org/,,2011,,"Horario de atención:
lunes de 12 a 14 horas
jueves de 16 a 18 horas",,,,,,,,,,,2013-09-04 11:48:06
Banco de Tempo de Ferrolterra,Banco de Tempo de Ferrolterra,Grupo/colectivo,Banco de tiempo - Comunitario,Avda. Castelao S/N,Traseira do Mercado de Caranza,15406,Ferrol ,A Coruña,Galicia,43.4829432,-8.2045467,659308775,,,bdt@deferrolterra.com,bancodetempo@deferrolterra.com,http://bdt.deferrolterra.com/,http://bancodetempo.deferrolterra.com/,2012,,"El banco de tiempo de Ferrolterra es una iniciativa para recuperar el BdT municipal que fué abandonado por el ayuntamiento de Ferrol. Pretendía ser un ente de gestión descentraliza, con la cooperación de todo el tejido asociativo, pero de momento, es solo un recurso diferente que mantenemos vivo 40 socios y socias con unas 70 ofertas. Eso si, esta ahí y !funciona!",,,,,,,,,,,2013-11-12 12:00:30
Banco de Tiempo de Alcalá la Real,Es un Banco de Tiempo Comunitario,Asociación,Banco de tiempo - Comunitario,Avda Iberoamérica s/n,Casa de la Juventud,23680,Alcalá la Real,Jaén,Ciudad y pedanías,37.4547388,-3.9264281,,,,bancotiempoalcalareal@gmail.com,,,,2012,,"Asociación sin ánimo de lucro, cuya finalidad es promover el intercambio de tiempo entre personas asociadas. Creando redes de cooperación y ayuda mutua intervecinal.

Las actividades o intercambios no deberán nunca ser remuneradas económicamente, ni constituir relaciones de
trabajo, o ser consideradas como actividad económica o comercial alguna. 

Esta asociación constituida como banco de tiempo comunitario, no solicita ningún tipo de subvención. Por lo que es una asociación totalmente independiente y autogestionada.

Para información e inscripciones estamos disponibles en la casa de la Juventud, sala 3, todos los Miércoles de 18 a 20 horas. Te esperamos. ;)",,,,,,,,,,,2015-05-27 12:28:10
Banco de Tiempo de Barakaldo,,Grupo/colectivo,Banco de tiempo - Municipal,"c/ Gernikako Arbola, 41",Centro Cívico Clara Campoamor,48902,Barakaldo,Bizkaia,,43.2939031,-2.9950747,94.478.94.50,,,bdtbarakaldo@barakaldo.org,,,,2013,,"El Banco de Tiempo de Barakaldo está abierto a todas las personas vecinas del municipio. 
Las personas que tengan interés en participar en el Banco de Tiempo, se han de acercar a la secretaría del banco sita en el Centro Cívico Clara Campoamor dónde podrán realizar la inscripción. El horario de atención: lunes de 17h00 a 20h00 y viernes de 10h00 a 13h00.",,,,,,,,,,,2014-05-19 22:49:57
