Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),Dirección sin cp,C.P.,Dirección,Población,Provincia,Zona,Comunidad autónoma,Barrio,Distrito,Comarca,Ámbito,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
Banc del Temps de Granollers,,Asociación,Banco de tiempo - Municipal,Carrer Rec nº 19,Can Jonch,Can Jonch - Carrer Rec nº 19,08401,Can Jonch - Carrer Rec nº 19 08401,Granollers,Barcelona,Vallès Oriental,Cataluña,,,Vallès Oriental,Comarca,41.6095035,2.2850627,938426834,,,bancdeltempsgranollers@gmail.com,,https://www.facebook.com/bancdeltempsdegranollers,,2013,,"Els fins de l’associació són:
a) Fomentar la cooperació i la participació ciutadana a traves dels diferents serveis que es puguin oferir i rebre.
b) Oferir cobertura a les diferents necessitats dels ciutadans a traves de la solidaritat i la cooperació.
c) Potenciar valors de solidaritat, convivència i igualtat d'oportunitats.

Per aconseguir les seves finalitats, l’associació realitza les activitats següents:

Gestió de projectes en els àmbits de la cooperació, la solidaritat i la reciprocitat.

L'Associació no es prestarà a cap proselitisme polític ni religiós.

En queda exclòs tot ànim de lucre.
",,,,,,,,,,,2015-02-24 09:10:24
"Banc del Temps de la Garrotxa ""BaTeGa""",,Asociación,Banco de tiempo - Comunitario,"Passeig d'en Blai, núm. 6",,"Passeig d'en Blai, núm. 6 ",17800,"Passeig d'en Blai, núm. 6 17800",Olot,Girona,,Cataluña,,,,,42.1822078,2.4880242,972263411,972263411,,banctempsgarrotxa@gmail.com,,http://bategabdtgarrotxa.wordpress.com/,http://www.bdtgarrotxa.org/,2013,,"La finalitat del Banc del Temps de la Garrotxa ""BATEGA"" és convertir el teu temps lliure en temps compartit, bàsicament la de intercanviar necessitats per habilitats, sense ànim de lucre ni cap mediació monetària. L'usuari rep un servei i/o formació d’ algú altre durant un període de temps, i es compromet a prestar un servei igualment prolongat. És a dir, “el troc funciona a través de crèdits mutus en forma de temps”. Cada usuari rep un talonari per efectuar els pagaments, i és titular d’un “compte corrent” que registra el saldo de temps disponible. La unitat d'intercanvi és l'hora, independentment del servei que s'ofereixi o que es rebi. Cada servei, coneixement o habilitat intercanviada té el mateix valor, mesurat en unitats de temps, independentment que el donant sigui un principiat o un expert.
Les transaccions es regulen amb el intercanvi físic d'uns xecs de temps, que es donen en forma de talonari als socis del banc. Una secretaria centralitza la gestió d'ofertes i demandes, posant en contacte a les persones, i controlant l'estat de saldo de les hores donades i rebudes.
Els intercanvis no són bilaterals (“jo et dono i tu em dones”) si no multilaterals: s’ofereix oferta i demanda a una borsa de serveis, coneixements i habilitats del Banc de temps de forma que la persona A ajuda a B, B ajuda a C, C ajuda a D, i D ajuda a A.

Solidaritat, intercanvi de temps: Coneixements, talents i molt més! ",,,,,,,,,,,2013-11-18 10:11:33
Banc del Temps de La Noguera,,Asociación,Banco de tiempo - Comunitario,"Sant Lluis, 2-ppal. 2ª",,"Sant Lluis, 2-ppal. 2ª ",25600,"Sant Lluis, 2-ppal. 2ª 25600",Balaguer,Lleida,,Cataluña,,,,,41.7932526,0.8096489,973450451,,973443615,bdtlanoguera@gmail.com,,http://www.bdtlanoguera.org/,,2011,,,,,,,,,,,,,2013-11-18 10:31:59
Banc del Temps de Lleida,,Asociación,Banco de tiempo - Comunitario,"Carrer Pau Claris, 10 ",,"Carrer Pau Claris, 10  ",25008,"Carrer Pau Claris, 10 25008",Lleida,Lleida,,Cataluña,,,,,41.6221819,0.6219152,744408679,,,secretaria@bancdetemps.org,,http://www.bancdetemps.org/,,2013,,,,,,,,,,,,,2014-07-22 21:00:35
Banc del Temps de Maçanet de la Selva,,Otros,Banco de tiempo - Municipal,Avinguda Catalunya 13,Edifici de Can Falló,Avinguda Catalunya 13 Edifici de Can Falló,17412,Avinguda Catalunya 13 Edifici de Can Falló 17412,Maçanet de la Selva,Girona,La Selva,Cataluña,,,La Selva,Comarca,41.77829,2.73085,972165651,681265644,,clopez@massanetdelaselva.cat,,http://www.massanetdelaselva.cat/,,2015,,,,,,,,,,,,,2015-02-12 10:29:43
Banc del Temps de Menorca-Alaior,Banc del Temps Menorca (secretaria d'Alaior),Grupo/colectivo,Banco de tiempo - Comunitario,"C/ des Forn, 9",7730,"C/ des Forn, 9 7730",,"C/ des Forn, 9 7730 ",Alaior,Baleares,,Islas Baleares,,,,,39.933711,4.1403514,,,,bancdeltempsmenorca@gmail.com,,http://www.bancdeltempsmenorca.wordpress.com/,,,,,,,,,,,,,,,2013-06-17 12:24:54
Banc del Temps de Montmeló,,Asociación,Banco de tiempo - Municipal,C/ Folch i Torras s/n,"Centre cultural La Torreta, Casal d'entitats","Centre cultural La Torreta, Casal d'entitats - C/ Folch i Torras s/n",08160,"Centre cultural La Torreta, Casal d'entitats - C/ Folch i Torras s/n 08160",Montmeló,Barcelona,Montmeló i Montornès del Vallès,Cataluña,,,,Municipio,41.5492171,2.2497083,935212582,,,bancdeltemps.montmelo@gmail.com,,http://montmelobancdeltemps.blogspot.com.es/,,2012,,"Com a Banc del temps ens proposem recuperar el concepte de veïns, de poble, enfortir les relacions entre els veïns del poble, que ens coneguem millor.
A part d'intercanvi de serveis, també organitzem activitats en grups (tallers de sabó ecològic per la roba, per les mans, de cant i veu, dieta mediterrània, etc).
També organitzem 2 ó 3 cops l'any una trobada entre socis per conèixer-nos millor, on cadascú porta una mica de menjar i beure.
En quan al Telf de contacte i l'horari d'atenció al públic, estem els dimecres de 17-19h ",,,,,,,,,,,2014-03-31 09:35:12
Banc del Temps de Montornès del Vallès (La Xarxa),Intercanvia el teu temps!,Otros,Banco de tiempo - Municipal,"C. De la Casa Nova, 18",,"C. De la Casa Nova, 18 ",08170,"C. De la Casa Nova, 18 08170",Montorès del Vallès,Barcelona,,Cataluña,,,,,41.553409,2.2649424,,,,,,,,2014,,,,,,,,,,,,,2014-04-08 09:02:57
Banc del Temps de Platja D'Aro,,Centro social,Banco de tiempo - Municipal,Carrer Escoles nº  2,,Carrer Escoles nº  2 ,17250,Carrer Escoles nº 2 17250,Platja d'Aro,Girona,Baix Empordà,Cataluña,,,Baix Empordà,Comarca,41.8179345,3.0640574,972818341,678797466,,ccivic@platjadaro.com,,,,2014,,"Banc del Temps municipal.
Que trata de cohesionar las personas que vivien en el municipio, que por su caracteristica estacional necesita de acciones que pongan en contacto a las personas.",,,,,,,,,,,2014-07-24 08:12:33
Banc del Temps de Sant Celoni,,Asamblea,Banco de tiempo - Comunitario,"Alguersuari, 16",La Clau,"La Clau - Alguersuari, 16",08470,"La Clau - Alguersuari, 16 08470",Sant Celoni,Barcelona,,Cataluña,,,,,41.6863404,2.4899321,,,,bdtstceloni@gmail.com,,http://bdtstceloni.blogspot.com/,https://www.facebook.com/bdtstceloni,2013,,"Banc de Temps de Sant Celoni: Intercanvi de serveis amb la moneda temps. 

Acull el projecte ""La clau"": una associació cultural sense ànim de lucre que vol esdevenir un espai d'unió d'entitats i de ciutadans i ciutadanes del Baix Montseny amb una voluntat clara de promoure l'organització, la cultura popular, l'oci alternatiu, la reflexió crítica i l'acció dels ciutadans, per a la transformació social i nacional de les nostres viles.",,,,,,,,,,,2013-10-23 11:19:07
Banc del Temps de Sant Sadurní d'Anoia,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Marc Mir, 15",,"C/ Marc Mir, 15 ",08770,"C/ Marc Mir, 15 08770",Sant Sadurní d'Anoia,Barcelona,,Cataluña,,,,,41.4242091,1.7892129,606953713,,-,bdtsantsa@gmail.com,,,,2014,,Intercanvio de servicios entre asociados.,,,,,,,,,,,2014-09-04 11:02:04
Banc del temps de Santa Cristina d'Aro,,Otros,Banco de tiempo - Municipal,"Passatge Pompeu Fabra, 2",,"Passatge Pompeu Fabra, 2 ",17246,"Passatge Pompeu Fabra, 2 17246",Santa Cristina d'Aro,Girona,Baix Empordà,Cataluña,,,Baix Empordà,Comarca,41.8137777,2.9972986,972837391,,,igualtat@santacristina.net,,http://www.santacristina.net/ca/banc_del_temps.html,,2012,,,,,,,,,,,,,2013-12-02 10:00:12
Banc del Temps de Tàrrega,,Asociación,Banco de tiempo - Municipal,"C/Segle XX, 2",3er pis. Centre d'Entitats,"C/Segle XX, 2 3er pis. Centre d'Entitats",25300,"C/Segle XX, 2 3er pis. Centre d'Entitats 25300",Tàrrega,Lleida,Comarca de l'Urgell,Cataluña,,,Comarca de l'Urgell,Comarca,41.6496245,1.1375079,973314151,,,bancdetempsdetarrega@gmail.com,,http://www.bancdetempsdetarrega.blogspot.com/,,2014,,,,,,,,,,,,,2014-05-20 21:45:48
Banc del Temps de Vilafranca del Penedès,,Otros,Banco de tiempo - Comunitario,,, ,, ,Vilafranca del Penedès,Barcelona,,Cataluña,,,,,41.3461265,1.6979398,938 171 995,,,rgarcia@vilafranca.org,,https://bdtvilafranca.wordpress.com/,,2015,,"Es tracta d’un sistema gratuït d’intercanvi de serveis, tasques puntuals, habilitats, coneixements i relacions entre persones, que pren el temps com a unitat de valor i de canvi. 
La mesura dels intercanvis és l’hora, amb independència del tipus de serveis que s’intercanviïn.",,,,,,,,,,,2015-05-27 12:27:08
Banc del Temps de Vilanova i la Geltrú,,Otros,Banco de tiempo - Municipal,Plaça dels Alumnes Obrers s/n,Centre Cívic de la Geltrú,Centre Cívic de la Geltrú - Plaça dels Alumnes Obrers s/n,08800,Centre Cívic de la Geltrú - Plaça dels Alumnes Obrers s/n 08800,Vilanova i la Geltrú,Barcelona,,Cataluña,,,,,41.2151504,1.727446,Ajuntament de Vilanova 938140000 (ext 2047) ,Centre Cívic de la Geltrú (93 814 7406),,nucliantic@vilanova.cat,sruiz@vilanova.cat,,,,,"Horari d'atenció al públic al Centre Cívic de la Geltrú:

Divendres de 18h a 20h (de novembre a març) i de 17 a 19h d'abril a octubre (agost tancat) ",,,,,,,,,,,2013-11-18 10:41:06
Banc del Temps del Berguedà,,Grupo/colectivo,Banco de tiempo - Comunitario,"C/ del Roser, 35",Baixos,"C/ del Roser, 35 Baixos",08600,"C/ del Roser, 35 Baixos 08600",Berga,Barcelona,Berguedà,Cataluña,,,Berguedà,Comarca,42.1012595,1.8439221,620000064,,,berguedabdt@gmail.com,,http://bancdeltempsbergueda.wordpress.com/,,,,,,,,,,,,,,,2014-01-07 09:26:43
Banc del Temps del Moianès,,Asamblea,Banco de tiempo - Comunitario,"Centre Cívic Can Carner. C/ de les Joies, 11.",,"Centre Cívic Can Carner. C/ de les Joies, 11. ",08180,"Centre Cívic Can Carner. C/ de les Joies, 11. 08180",Moià,Barcelona,Comarca del Moianès,Cataluña,,,Comarca del Moianès,Comarca,41.8122247,2.0976547,627 499 452,648 807 902,,BdTmoianes@inventati.org,,https://bancdeltempsdelmoianes.wordpress.com/,,2014,,Banc del Temps independent que agrupa diversos pobles del Moianès.,,,,,,,,,,,2015-06-24 10:15:30
Banc del Temps del Prat de Llobregat,,Asociación,Banco de tiempo - Comunitario,"Plaça de l'Agricultura, 4",,"Plaça de l'Agricultura, 4 ",08820,"Plaça de l'Agricultura, 4 08820",El Prat de Llobregat,Barcelona,Baix Llobregat,Cataluña,,,Baix Llobregat,Comarca,41.3247670713,2.09309716295,,,,bdtelprat@gmail.com,,http://www.bdtelprat.cat/,,2014,,,,,,,,,,,,,2014-10-28 13:17:47
Banc del Temps del Solsonès,,Otros,Banco de tiempo - Comunitario,"C/ Dominics, 12",Palau Llobera,"Palau Llobera - C/ Dominics, 12",25280,"Palau Llobera - C/ Dominics, 12 25280",Solsona,Lleida,Catalunya Central,Cataluña,,,Catalunya Central,Comarca,41.9953022,1.5192354,973482003,,973482514,,,http://www.bancdeltempsdelsolsones.wordpress.com/,,2012,,,,,,,,,,,,,2015-02-10 11:58:14
Banc del Temps El Masnou,,Asociación,Banco de tiempo - Municipal,"C/ Segarra, 12",Espai Cívic Els Vienesos,"Espai Cívic Els Vienesos - C/ Segarra, 12",08320,"Espai Cívic Els Vienesos - C/ Segarra, 12 08320",El Masnou,Barcelona,,Cataluña,,,,,41.5059585,2.2781865,935 571 880,,,bdtelmasnou@gmail.com,,,,2012,,,,,,,,,,,,,2013-11-28 09:35:23
Banc del Temps Gornal – L'Hospitalet,,Grupo/colectivo,Banco de tiempo - Comunitario,"Calle Joncs, 12",local,"Calle Joncs, 12 local",08902,"Calle Joncs, 12 local 08902",L'Hospitalet de Llobregat,Barcelona,,Cataluña,,,,,41.3579037,2.1185028,934036705,934036935,,banctempsgornal@gmail.com,yriera@l-h.cat,https://www.facebook.com/BancdeltempselGornal,,2015,,"El Gornal es un barrio de la ciudad de L'Hospitalet de Llobregat. El proyecto nace en él y tiene dimensión de Ciudad. La Secretaria està formada por 7 miembros, vecinos y vecinas que gestionan con ilusión esta reciente iniciativa.",,,,,,,,,,,2015-07-28 09:32:59
Banc del Temps La Canonja,,Centro social,Banco de tiempo - Municipal,Plaça Catalunya s/n,Centre Civic La Canonja,Centre Civic La Canonja - Plaça Catalunya s/n,43110,Centre Civic La Canonja - Plaça Catalunya s/n 43110,La Canonja,Tarragona,Tarragonés (comarca),Cataluña,,,Tarragonés,Comarca,41.1232347,1.1789095,977 540 510,,,bancdeltemps@lacanonja.cat,,,,2014,,Banc del temps amb el suport de la regidoria d'Acció Social de l'Ayuntament de La Canonja (TARRAGONA),,,,,,,,,,,2014-07-08 13:11:50
Banc del Temps La Sagrera,,Grupo/colectivo,Banco de tiempo - Comunitario,"Hondures, 28 - 30",Nau Ivanow,"Nau Ivanow - Hondures, 28 - 30",08027,"Nau Ivanow - Hondures, 28 - 30 08027",Barcelona,Barcelona,,Cataluña,,,,,41.4199544,2.1899933,,,,bdt.lasagrera@gmail.com,,http://lasagrera.bdtonline.org/,,2012,,,,,,,,,,,,,2013-06-09 23:38:36
Banc del Temps Pineda de Mar,,Asociación,Banco de tiempo - Comunitario,C/ Ignasi Iglesias 32,,C/ Ignasi Iglesias 32 ,08397,C/ Ignasi Iglesias 32 08397,Pineda de Mar,Barcelona,Maresme,Cataluña,,,Maresme,Comarca,41.6229683,2.6894033,660074447,,,bancdeltempspinedademar@gmail.com,,,,2011,,,,,,,,,,,,,2013-09-30 09:36:46
Banc del Temps Trinitat Vella,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Foradada, 36-38",,"C/ Foradada, 36-38 ",08033,"C/ Foradada, 36-38 08033",Barcelona,Barcelona,Trinitat Vella (Districte Sant Andreu),Cataluña,,Trinitat Vella (Districte Sant Andreu),,Distrito,41.4516211,2.1911907,933457016,,,bancdeltempstrinitatvella@gmail.com,,http://trinitatvella.bdtonline.org/,,2011,,"Horario de atención:
lunes de 12 a 14 horas
jueves de 16 a 18 horas",,,,,,,,,,,2013-09-04 11:48:06
Banco de Tiempo Alta Ribagorza,,Grupo/colectivo,Banco de tiempo - Municipal,Ctra. De Francia,,Ctra. De Francia ,22440,Ctra. De Francia 22440,Benasque,Huesca,,Aragón,,,,,42.6042858,0.5228286,974 551 738 / 678 493 035,,,acabenas@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:41:27
Banco de Tiempo Alto Palancia,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ San Gil, 35",,"C/ San Gil, 35 ",12470,"C/ San Gil, 35 12470",Navajas,Castellón,,Comunidad Valenciana,,,,,39.8769446,-0.5075974,964 132 053 / 627 285 935,,,bdtpalancia@live.com,,,,,,,,,,,,,,,,,2013-06-07 19:41:47
Banco de Tiempo Ampa CP Eugenio López,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Bisbe Berenguer de Palou, 6",,"Pl. Bisbe Berenguer de Palou, 6 ",07003,"Pl. Bisbe Berenguer de Palou, 6 07003",Palma De Mallorca,Baleares,,Islas Baleares,,,,,39.576281,2.6491207,971 710 019 escola,695 67 44 34 ampa,,bdt.pl.patins@gmail.com,,,,,,,,,,,,,,,,,2013-11-28 09:58:23
